adresse,Date mutation,Valeur fonciere,Code_postal,Commune,Surface reelle bati,Surface terrain,Nombre pieces principales,Code commune,Type local,Valeur foncière au mètre carré,search,longitude,latitude,result_score
1 PL DE L DE TASSIGNY,26/12/2024,145000.0,93220,GAGNY,68.0,0.0,3.0,32,Appartement,2132.3529411764707,1 PL DE L DE TASSIGNY 93220 GAGNY,2.550821,48.878669,0.7030788311688311
1 PL DE L EGLISE,06/03/2024,157000.0,93600,AULNAY SOUS BOIS,69.0,0.0,2.0,5,Appartement,2275.3623188405795,1 PL DE L EGLISE 93600 AULNAY SOUS BOIS,2.497941,48.94177,0.8538385281385281
1 PL DE L EGLISE,10/06/2024,150000.0,77700,CHESSY,140.0,2343.0,5.0,111,Maison,1071.4285714285713,1 PL DE L EGLISE 77700 CHESSY,2.764023,48.879332,0.8105963636363636
1 PL DE L EGLISE,12/04/2024,92000.0,77750,SAINT-CYR-SUR-MORIN,35.0,25.0,2.0,405,Maison,2628.5714285714284,1 PL DE L EGLISE 77750 SAINT-CYR-SUR-MORIN,3.184204,48.906163,0.8479789898989898
1 PL DE L EGLISE,20/06/2024,98000.0,77730,MERY-SUR-MARNE,42.0,100.0,3.0,290,Maison,2333.3333333333335,1 PL DE L EGLISE 77730 MERY-SUR-MARNE,3.202016,48.966053,0.8301336363636364
1 PL DE L EGLISE,29/03/2024,380000.0,92500,RUEIL-MALMAISON,75.0,0.0,3.0,63,Appartement,5066.666666666667,1 PL DE L EGLISE 92500 RUEIL-MALMAISON,2.18147,48.876869,0.8586479822616407
1 PL DE L'EGLISE,06/11/2024,238000.0,77320,DAGNY,139.0,449.0,5.0,151,Maison,1712.230215827338,1 PL DE L'EGLISE 77320 DAGNY,3.170154,48.717504,0.7883287976539589
1 PL DE L'ESC. NORMANDIE NIEMEN,19/06/2024,440000.0,75013,PARIS,47.0,0.0,2.0,113,Appartement,9361.702127659575,1 PL DE L'ESC. NORMANDIE NIEMEN 75013 PARIS,2.371276,48.831438,0.727750960548885
1 PL DE L'ETOILE,24/06/2024,335000.0,91210,DRAVEIL,132.0,1019.0,6.0,201,Maison,2537.878787878788,1 PL DE L'ETOILE 91210 DRAVEIL,2.402851,48.687866,0.8236553168044077
1 PL DE L'EUROPE,08/04/2024,180000.0,77360,VAIRES SUR MARNE,68.0,0.0,3.0,479,Appartement,2647.0588235294117,1 PL DE L'EUROPE 77360 VAIRES SUR MARNE,2.630506,48.868181,0.8465148917748917
1 PL DE L'EUROPE,10/06/2024,89000.0,77360,VAIRES SUR MARNE,25.0,0.0,1.0,479,Appartement,3560.0,1 PL DE L'EUROPE 77360 VAIRES SUR MARNE,2.630506,48.868181,0.8465148917748917
1 PL DE LA BAULLIERE,05/11/2024,140000.0,91450,ETIOLLES,41.0,0.0,1.0,225,Appartement,3414.6341463414633,1 PL DE LA BAULLIERE 91450 ETIOLLES,2.458893,48.640565,0.8273273205741626
1 PL DE LA CHENAIE,17/09/2024,185000.0,94370,SUCY-EN-BRIE,56.0,0.0,2.0,71,Appartement,3303.5714285714284,1 PL DE LA CHENAIE 94370 SUCY-EN-BRIE,2.526872,48.770939,0.8236645454545454
1 PL DE LA GARE,20/06/2024,136500.0,91130,RIS-ORANGIS,79.0,0.0,4.0,521,Appartement,1727.8481012658228,1 PL DE LA GARE 91130 RIS-ORANGIS,2.414416,48.65868,0.8341882828282828
1 PL DE LA GARE,27/06/2024,130500.0,91130,RIS-ORANGIS,61.0,0.0,3.0,521,Appartement,2139.344262295082,1 PL DE LA GARE 91130 RIS-ORANGIS,2.414416,48.65868,0.8341882828282828
1 PL DE LA LEVRIERE,30/08/2024,200000.0,94000,CRETEIL,66.0,0.0,3.0,28,Appartement,3030.3030303030305,1 PL DE LA LEVRIERE 94000 CRETEIL,2.44811,48.789588,0.8361310101010101
1 PL DE LA LIBERATION,23/12/2024,305000.0,77600,BUSSY-SAINT-GEORGES,75.0,0.0,3.0,58,Appartement,4066.6666666666665,1 PL DE LA LIBERATION 77600 BUSSY-SAINT-GEORGES,2.709619,48.836032,0.8689072727272726
1 PL DE LA LIBERATION,27/02/2024,165800.0,91590,FERTE-ALAIS (LA),70.0,0.0,3.0,232,Appartement,2368.5714285714284,1 PL DE LA LIBERATION 91590 FERTE-ALAIS (LA),2.347672,48.483849,0.8112055335968379
1 PL DE LA MAIRIE,31/10/2024,225000.0,77126,CHATENAY-SUR-SEINE,79.0,555.0,3.0,101,Maison,2848.1012658227846,1 PL DE LA MAIRIE 77126 CHATENAY-SUR-SEINE,3.096589,48.41882,0.8441680808080807
